profile_type,income,expenses,savings,loan_emi,income_variability,savings_rate,expense_ratio,debt_to_income,runway_months,financial_goal,goal_amount,goal_months,risk_level,recommendation_category
Daily wage worker,22523.0,9448,19938,3438,32.38,42.8,41.9,15.3,2.7,Business Expansion,75000,24,Medium,Moderately Variable Income
Commission-based worker,30623.0,23222,150374,4374,52.09,9.9,75.8,14.3,8.4,Debt Repayment,150000,18,Medium,Highly Variable Income
Shop owner,29246.0,19941,46928,0,19.32,31.8,68.2,0.0,3.1,Home Downpayment,500000,18,Low,Stable Income
Online seller,31072.0,26537,132860,0,55.28,14.6,85.4,0.0,6.3,Debt Repayment,250000,6,Medium,Highly Variable Income
Commission-based worker,36178.0,22041,18444,13749,57.0,1.1,60.9,38.0,1.1,Emergency Fund,100000,12,High,Highly Variable Income
Consultant,44491.0,38021,36310,7517,43.26,0.0,85.5,16.9,1.3,Child Education,250000,18,High,Financial Risk
Gig worker,27786.0,14614,6021,0,47.57,47.4,52.6,0.0,0.6,Home Downpayment,50000,6,High,Financial Risk
Commission-based worker,22654.0,13819,7682,3586,57.1,23.2,61.0,15.8,0.6,Business Expansion,500000,24,High,Financial Risk
Small business owner,71311.0,20260,108879,0,30.76,71.6,28.4,0.0,6.3,Business Expansion,100000,24,Low,Moderately Variable Income
Self-employed person,19856.0,18073,17317,7260,17.44,0.0,91.0,36.6,1.3,Working Capital Buffer,100000,6,High,Financial Risk
Commission-based worker,39369.0,17540,97004,12285,46.65,24.2,44.6,31.2,7.4,Home Downpayment,500000,36,Medium,Highly Variable Income
Consultant,50478.0,45320,47467,0,9.73,10.2,89.8,0.0,1.6,Business Expansion,250000,24,Medium,Stable Income
Gig worker,18178.0,22193,73872,0,50.28,0.0,122.1,0.0,4.8,Retirement Reserve,50000,24,High,Financial Risk
Online seller,81872.0,37192,361040,0,33.04,54.6,45.4,0.0,14.5,Emergency Fund,100000,12,Low,Moderately Variable Income
Daily wage worker,10251.0,10514,80186,0,39.8,0.0,102.6,0.0,9.7,Child Education,30000,12,High,Financial Risk
Gig worker,19457.0,14918,108020,4106,17.31,2.2,76.7,21.1,10.5,Home Downpayment,30000,12,Low,Stable Income
Self-employed person,44818.0,21997,19593,7148,14.39,35.0,49.1,15.9,1.1,Business Expansion,500000,18,Medium,Stable Income
Self-employed person,17586.0,17291,8552,5991,39.52,0.0,98.3,34.1,0.6,Child Education,250000,12,High,Financial Risk
Gig worker,32929.0,17983,8889,5381,27.17,29.0,54.6,16.3,0.6,Working Capital Buffer,150000,36,High,Financial Risk
Commission-based worker,33412.0,21100,112880,0,30.62,36.8,63.2,0.0,6.8,Debt Repayment,30000,12,Low,Moderately Variable Income
Online seller,35846.0,30465,111045,0,52.68,15.0,85.0,0.0,5.1,Emergency Fund,50000,12,Medium,Highly Variable Income
Daily wage worker,21418.0,12629,72784,1785,24.39,32.7,59.0,8.3,7.8,Retirement Reserve,250000,24,Low,Moderately Variable Income
Daily wage worker,10782.0,13372,22312,1721,58.96,0.0,124.0,16.0,2.6,Emergency Fund,500000,12,High,Financial Risk
Consultant,92570.0,41170,86308,17975,19.59,36.1,44.5,19.4,2.8,Emergency Fund,75000,6,Low,Stable Income
Freelancer,77534.0,23591,21182,0,30.25,69.6,30.4,0.0,1.2,Working Capital Buffer,500000,6,Medium,Moderately Variable Income
Freelancer,33216.0,28240,67120,0,47.86,15.0,85.0,0.0,3.5,Retirement Reserve,75000,6,Medium,Highly Variable Income
Seasonal business owner,28391.0,35941,20415,0,53.28,0.0,126.6,0.0,0.8,Working Capital Buffer,500000,6,High,Financial Risk
Small business owner,21804.0,27681,163134,7848,60.76,0.0,127.0,36.0,9.1,Child Education,75000,24,High,Financial Risk
Shop owner,61738.0,26288,12096,19212,26.36,26.3,42.6,31.1,0.7,Retirement Reserve,250000,36,High,Financial Risk
Small business owner,34119.0,24313,14286,5991,80.99,11.2,71.3,17.6,0.7,Emergency Fund,250000,12,High,Financial Risk
Gig worker,18561.0,16065,8293,3949,54.87,0.0,86.6,21.3,0.7,Working Capital Buffer,100000,12,High,Financial Risk
