text,category
Borrower Undertaking: A pre-closure penalty of 4.0% will be debited to the settlement statement if closed using third-party balance transfer funds.,Foreclosure
"Clause 1: Any representation or warranty proving to be false or misleading will incur an immediate breach penalty of Rs. 25,000.",Penalty
"Borrower Undertaking: This loan agreement shall be governed by, and construed in all respects in accordance with, the laws of the Republic of India.",Other
General Obligation: A reduction in the borrower's credit score below 700 grants the Lender the right to demand additional collateral security.,Credit Score
"Borrower Undertaking: A non-refundable administrative processing fee of 1.0% of the sanctioned loan amount, subject to a minimum of Rs. 1,000, is payable.",Processing Fee
General Obligation: A loan account reactivation fee of Rs. 500 will be applied if the loan account falls into inoperative dormant status.,Hidden Charges
"Terms and Conditions: A non-refundable administrative processing fee of 1.0% of the sanctioned loan amount, subject to a minimum of Rs. 1,000, is payable.",Processing Fee
Special Covenant: Breach of any financial covenant or negative pledge shall attract a liquidated damages penalty of 28.0% per annum.,Penalty
Clause 22: A physical ECS/NACH mandate registration swap fee of Rs. 150 shall be charged for changing the repayment bank account.,Hidden Charges
Borrower Undertaking: The loan shall be repaid over an amortization schedule spanning 10 years across 120 monthly installments.,Loan Tenure
Mandatory Condition: Differential interest rate of 10.25% shall be levied during the construction period until final disbursement.,Interest Rate
Any default exceeding 30 days delinquency will be reported to credit bureaus and may severely impair the borrower's credit rating.,Credit Score
Section 35.9: Self-employed applicants must show audited financial accounts reflecting net profits for at least 3 consecutive assessment years.,Eligibility
"General Obligation: In case of unauthorized utilization of loan proceeds for speculative purposes, the Bank may impose a punitive penalty of 30.0%.",Penalty
"Important Stipulation: In the event of permanent disability or death of the borrower, insurance proceeds shall be applied directly to liquidate outstanding debt.",Insurance
"Mandatory Condition: This loan agreement shall be governed by, and construed in all respects in accordance with, the laws of the Republic of India.",Other
Terms and Conditions: Any dispute arising out of or in connection with this agreement shall be resolved through binding arbitration in Mumbai.,Other
"Important Stipulation: The initial EMI amount shall be Rs. 8,250 per month, subject to adjustment if the interest rate benchmark changes.",EMI
Section 15.3: Tax deducted at source (TDS) if applicable must be deposited by the borrower and statutory TDS certificates submitted to the Lender.,Tax
Section 26.8: A fixed annual interest rate of 9.10% shall be applicable for the entire tenure of the loan facility without any reset.,Interest Rate
General Obligation: A fixed annual interest rate of 15.00% shall be applicable for the entire tenure of the loan facility without any reset.,Interest Rate
Mandatory Condition: The Borrower's credit score must be at least 750 as reported by CIBIL or Experian at the time of formal underwriting.,Credit Score
Terms and Conditions: The borrower shall pay foreclosure fees equivalent to 4.0% of the remaining unpaid principal at the date of payoff.,Foreclosure
"Clause 17: The Borrower shall submit certified copies of PAN Card, Aadhaar Card, utility bills, and 6 months bank account statements.",Documentation
"Mandatory Condition: A minimum threshold of INR 25,000 is required for making any advance prepayment against outstanding principal.",Prepayment
"Section 25.8: All fees, charges, and statutory penalties mentioned herein are exclusive of Goods and Services Tax (GST) payable at 18.0%.",Tax
Important Stipulation: A CIBIL credit report pull fee of Rs. 300 will be deducted from the customer's savings account during annual monitoring.,Hidden Charges
"Mandatory Condition: In case of a floating rate loan, the rate of interest shall be reset on an annual basis in accordance with prevailing market benchmarks.",Interest Rate
Borrower Undertaking: Self-employed applicants must show audited financial accounts reflecting net profits for at least 4 consecutive assessment years.,Eligibility
Section 16.2: The Borrower shall execute an irrevocable power of attorney in favor of the Bank authorizing enforcement upon default.,Documentation
"Special Covenant: A mandatory group loan protection insurance premium of INR 52,000 shall be debited and added to the principal balance.",Insurance
"Special Covenant: The Borrower shall pay an upfront loan processing charge of INR 1,500 plus applicable Goods and Services Tax (GST).",Processing Fee
"Borrower Undertaking: The Borrower confirms that the monthly EMI commitment of Rs. 12,400 does not exceed 50% of verified net monthly disposable income.",EMI
A dishonor penalty of Rs. 500 shall be charged for every cheque or NACH debit returned unpaid due to insufficient funds.,Penalty
Mandatory Condition: The borrower explicitly authorizes the lender to obtain comprehensive credit bureau reports throughout the currency of the loan.,Credit Score
"Mandatory Condition: The Borrower shall remit a monthly installment of Rs. 16,800 covering principal repayment and accrued monthly interest.",EMI
General Obligation: A penal interest rate of 3.0% per annum shall be charged on all overdue EMI payments for the exact period of delay.,Late Fee
"Terms and Conditions: The applicant must demonstrate a verified minimum net monthly salary of Rs. 75,000 to qualify for this credit facility.",Eligibility
"General Obligation: An inspection and collateral re-valuation fee of Rs. 1,200 will be charged to the loan account every 3 years.",Hidden Charges
"Mandatory Condition: The Borrower confirms that the monthly EMI commitment of Rs. 35,000 does not exceed 50% of verified net monthly disposable income.",EMI
Borrower Undertaking: The duration of this credit facility is strictly restricted to 25 years from the execution date of this loan deed.,Loan Tenure
General Obligation: The Lender reserves the sole right to revise the interest rate spread by up to 3.10% in the event of any credit rating downgrade.,Interest Rate
"Section 5.2: The Borrower shall pay an upfront loan processing charge of INR 6,000 plus applicable Goods and Services Tax (GST).",Processing Fee
The Borrower's credit score must be at least 780 as reported by CIBIL or Experian at the time of formal underwriting.,Credit Score
General Obligation: A reduction in the borrower's credit score below 700 grants the Lender the right to demand additional collateral security.,Credit Score
"Special Covenant: The borrower covenants to pay 180 consecutive equated monthly installments of INR 55,000 without default.",EMI
Section 15.8: The courts having jurisdiction over the branch where the loan was sanctioned shall have exclusive legal jurisdiction.,Other
Mandatory Condition: A certified salary slip stamped by the employer along with Form 16 must be provided prior to final disbursement release.,Documentation
"Important Stipulation: All fees, charges, and statutory penalties mentioned herein are exclusive of Goods and Services Tax (GST) payable at 18.0%.",Tax
"Special Covenant: A mandatory group loan protection insurance premium of INR 15,000 shall be debited and added to the principal balance.",Insurance
"Clause 30: The initial EMI amount shall be Rs. 16,800 per month, subject to adjustment if the interest rate benchmark changes.",EMI
Special Covenant: The Borrower must provide a minimum 15 days written notice requesting full loan foreclosure and payoff quotation calculation.,Foreclosure
Terms and Conditions: The total tenure of the loan facility is sanctioned for a period of 360 months (30 years) from the disbursement date.,Loan Tenure
Section 22.5: The Borrower shall obtain and maintain a comprehensive credit life and disability insurance policy covering 100% of the loan value.,Insurance
Borrower Undertaking: Any dispute arising out of or in connection with this agreement shall be resolved through binding arbitration in Mumbai.,Other
"Section 20.4: A statement of account fee of Rs. 1,200 and interest certificate generation fee of Rs. 150 shall be levied.",Hidden Charges
Borrower Undertaking: A document retrieval and duplicate statement issuance fee of Rs. 750 plus taxes shall apply to each physical service request.,Hidden Charges
"Borrower Undertaking: Any representation or warranty proving to be false or misleading will incur an immediate breach penalty of Rs. 5,000.",Penalty
"General Obligation: In the event of permanent disability or death of the borrower, insurance proceeds shall be applied directly to liquidate outstanding debt.",Insurance
"Important Stipulation: The agreed base lending rate is 15.00% per annum, payable in arrears at the conclusion of each calendar month.",Interest Rate
Section 13.6: The Lender reserves the sole right to revise the interest rate spread by up to 4.00% in the event of any credit rating downgrade.,Interest Rate
"Failure to submit annual income tax returns or financial statements within 90 days will result in a non-compliance penalty of Rs. 25,000.",Penalty
"The agreed base lending rate is 12.00% per annum, payable in arrears at the conclusion of each calendar month.",Interest Rate
A foreclosure charge of 2.0% shall be levied on the outstanding principal balance if the loan is closed prematurely.,Foreclosure
"General Obligation: The Lender shall report payment performance, defaults, and overdue status to all statutory Credit Information Companies monthly.",Credit Score
"Borrower Undertaking: Loan eligibility is determined on the basis of verified cash flows, repayment capacity, and existing debt commitments.",Eligibility
"Special Covenant: Prepayment shall only be accepted in multiples of Rs. 25,000 and will be adjusted first towards overdue charges and then principal.",Prepayment
General Obligation: An origination fee of 3.0% of the total credit limit shall be charged upon issuance of the formal loan sanction letter.,Processing Fee
Terms and Conditions: The Borrower shall execute an irrevocable power of attorney in favor of the Bank authorizing enforcement upon default.,Documentation
"A minimum threshold of INR 1,00,000 is required for making any advance prepayment against outstanding principal.",Prepayment
General Obligation: Self-employed applicants must show audited financial accounts reflecting net profits for at least 2 consecutive assessment years.,Eligibility
Borrower Undertaking: The Lender reserves the sole right to revise the interest rate spread by up to 4.00% in the event of any credit rating downgrade.,Interest Rate
The Borrower agrees to pay interest on the loan facility at a floating rate of 10.25% per annum linked to the Bank's 1-year MCLR.,Interest Rate
Clause 28: Applicants must possess a minimum of 2 years continuous employment in the current organization or sector to qualify.,Eligibility
Borrower Undertaking: Any request for tenure extension beyond the contracted 180 months shall be subject to fresh credit underwriting.,Loan Tenure
"Section 37.5: Property mortgaged under this loan facility must be insured against fire, earthquake, and natural calamities with the Bank as sole loss payee.",Insurance
Clause 14: A pre-closure penalty of 5.0% will be debited to the settlement statement if closed using third-party balance transfer funds.,Foreclosure
"Important Stipulation: Repayment shall be made by way of Equated Monthly Installments of INR 85,000 commencing from the month immediately following disbursement.",EMI
Borrower Undertaking: The loan shall be repaid over an amortization schedule spanning 2 years across 24 monthly installments.,Loan Tenure
Important Stipulation: Interest charges will accrue from the exact date of loan disbursement at the rate of 13.50% per annum.,Interest Rate
"Borrower Undertaking: The applicant must demonstrate a verified minimum net monthly salary of Rs. 1,00,000 to qualify for this credit facility.",Eligibility
"Section 45.5: In case of default in payment of any monthly installment on the due date, a late payment fee of Rs. 500 plus 2.0% p.a. will be levied.",Late Fee
Important Stipulation: The Borrower may claim tax deductions on principal repayments under Section 80C and interest payments under Section 24(b) of the IT Act.,Tax
Mandatory Condition: Periodic automated credit score reviews will be conducted by the bank to assess ongoing risk and exposure health.,Credit Score
Borrower Undertaking: Periodic automated credit score reviews will be conducted by the bank to assess ongoing risk and exposure health.,Credit Score
The Borrower's credit score must be at least 700 as reported by CIBIL or Experian at the time of formal underwriting.,Credit Score
Terms and Conditions: Any default exceeding 30 days delinquency will be reported to credit bureaus and may severely impair the borrower's credit rating.,Credit Score
The provisions of this agreement are severable; invalidity of any clause shall not impair the validity of remaining clauses.,Other
"General Obligation: The rate of interest chargeable shall be 10.75% p.a., subject to revision following Reserve Bank of India policy revisions.",Interest Rate
Clause 31: The borrower explicitly authorizes the lender to obtain comprehensive credit bureau reports throughout the currency of the loan.,Credit Score
Important Stipulation: All statutory levies and stamp duties payable on this agreement shall be deposited with the competent treasury authority.,Tax
Special Covenant: The Borrower shall execute an irrevocable power of attorney in favor of the Bank authorizing enforcement upon default.,Documentation
Section 43.9: A pre-closure penalty of 5.0% will be debited to the settlement statement if closed using third-party balance transfer funds.,Foreclosure
Terms and Conditions: The borrower explicitly authorizes the lender to obtain comprehensive credit bureau reports throughout the currency of the loan.,Credit Score
"Important Stipulation: In the event of permanent disability or death of the borrower, insurance proceeds shall be applied directly to liquidate outstanding debt.",Insurance
"Mandatory Condition: All fees, charges, and statutory penalties mentioned herein are exclusive of Goods and Services Tax (GST) payable at 18.0%.",Tax
"Mandatory Condition: Any representation or warranty proving to be false or misleading will incur an immediate breach penalty of Rs. 2,000.",Penalty
General Obligation: A pre-closure penalty of 5.0% will be debited to the settlement statement if closed using third-party balance transfer funds.,Foreclosure
"Borrower Undertaking: Property mortgaged under this loan facility must be insured against fire, earthquake, and natural calamities with the Bank as sole loss payee.",Insurance
Mandatory Condition: The Borrower shall obtain and maintain a comprehensive credit life and disability insurance policy covering 100% of the loan value.,Insurance
The total fixed obligation to income ratio (FOIR) of the borrower including all existing debts must not exceed 55%.,Eligibility
Mandatory Condition: A foreclosure charge of 4.0% shall be levied on the outstanding principal balance if the loan is closed prematurely.,Foreclosure
"A moratorium on principal repayment of 12 months is granted, during which only monthly interest is payable.",Loan Tenure
Clause 40: No waiver by the Bank of any default by the Borrower shall operate as a waiver of any subsequent breach or default.,Other
Terms and Conditions: The borrower explicitly authorizes the lender to obtain comprehensive credit bureau reports throughout the currency of the loan.,Credit Score
