message,label
"Your bank account statement is now available in your official banking app.",0
"Your payment of Rs 500 was successfully completed.",0
"Your monthly account statement is ready to view.",0
"Your debit card request has been received.",0
"Your account update request was successfully submitted.",0
"Your scheduled payment has been processed.",0
"Your bank branch appointment has been confirmed.",0
"Your account statement is available for download.",0
"Your fixed deposit maturity date is approaching.",0
"Your banking profile was successfully updated.",0
"Your loan application has been received.",0
"Your service request has been registered successfully.",0
"Your payment receipt is available in the banking app.",0
"Your account notification settings have been updated.",0
"Your bank statement for this month is ready.",0
"Your KYC documents have been successfully received.",0
"URGENT your account will be blocked today click this link immediately.",1
"Your KYC has expired verify your account immediately.",1
"Share your OTP now to prevent your bank account from being blocked.",1
"Congratulations you won a cash prize claim your reward immediately.",1
"Your account will be suspended unless you click this link now.",1
"Send your PIN to the bank officer to verify your identity.",1
"Customer care here please provide your OTP for verification.",1
"Your KYC is incomplete click here to update it immediately.",1
"You have won a lottery prize send money to claim your reward.",1
"Act now or your account will be permanently closed.",1
"Install this application so our support team can fix your banking issue.",1
"Your bank account has been selected for a reward click here to claim.",1
"Send money immediately to avoid account suspension.",1
"Verify your identity using this link within 24 hours.",1
"Your debit card will be blocked click here to reactivate it.",1
"Bank representative here provide your password for verification.",1
"Your account has suspicious activity click the link to secure it.",1
"Send the OTP you received to complete your KYC update.",1
"Your reward is waiting claim it before the limited time expires.",1
"Install AnyDesk and give remote access to resolve your banking problem.",1
"Your account verification failed click here and enter your details.",1
"Immediate action required your bank account will be suspended.",1
"Customer support asks you to install a remote access app to fix your account.",1
"Click this link to verify your banking password immediately.",1
"Your account has been selected for a cash reward send a small fee to claim it.",1
"Government officer here provide your bank details for verification.",1
"Your KYC will expire today update it using this link.",1
"Act immediately to prevent financial loss and verify your account.",1
"Your account is blocked temporarily send OTP to reactivate it.",1
"Limited time reward claim your prize by clicking this link.",1
"Send your PIN and password to complete account verification.",1
"Bank customer care requires your OTP to cancel a suspicious transaction.",1
"Download this application and share your screen for account verification.",1
